time_s,baseline_g,auto_g,saved_g,saved_pct,alpha
885600.0,1928.98,825.05,1103.94,57.23,0.5
889200.0,4241.57,1964.76,2276.81,53.68,0.6
892800.0,9286.39,3327.39,5959.0,64.17,0.5
896400.0,3558.39,2434.36,1124.03,31.59,0.7
900000.0,6789.33,2090.4,4698.93,69.21,0.6
903600.0,448.19,276.2,171.99,38.37,0.7
907200.0,2672.33,2039.98,632.35,23.66,0.2
910800.0,1220.97,643.89,577.08,47.26,0.5
914400.0,6265.83,3796.36,2469.47,39.41,0.7
918000.0,5078.5,779.01,4299.49,84.66,0.4
921600.0,5377.03,2699.85,2677.18,49.79,0.5
925200.0,1952.08,544.91,1407.17,72.09,0.7
928800.0,4759.37,606.57,4152.8,87.26,0.5
932400.0,4963.94,1757.42,3206.52,64.6,0.7
936000.0,7404.09,2413.18,4990.9,67.41,0.5
939600.0,5905.22,2251.62,3653.59,61.87,0.5
943200.0,488.79,348.42,140.37,28.72,0.6
946800.0,3515.94,567.81,2948.13,83.85,0.6
950400.0,5186.48,1709.58,3476.91,67.04,0.6
954000.0,9000.44,6185.56,2814.88,31.27,0.6
957600.0,510.5,63.7,446.8,87.52,0.5
961200.0,1975.58,405.79,1569.79,79.46,0.6
964800.0,5031.91,530.87,4501.04,89.45,0.5
968400.0,1181.58,1172.41,9.18,0.78,0.5
972000.0,7125.93,3615.22,3510.7,49.27,0.4
975600.0,7626.71,3412.96,4213.74,55.25,0.7
979200.0,1945.84,1751.67,194.16,9.98,0.4
982800.0,3402.1,3230.6,171.5,5.04,0.8
986400.0,3773.15,1242.33,2530.82,67.07,0.5
990000.0,3738.66,3228.97,509.69,13.63,0.4
993600.0,15.31,2.24,13.07,85.36,0.1
997200.0,8986.6,5410.27,3576.33,39.8,0.6
1000800.0,4390.68,1724.15,2666.52,60.73,0.6
1004400.0,6922.04,801.29,6120.75,88.42,0.4
1008000.0,3325.99,1083.49,2242.5,67.42,0.8
1011600.0,2556.27,1494.38,1061.89,41.54,0.5
1015200.0,3713.4,1145.73,2567.67,69.15,0.5
1018800.0,1707.62,240.76,1466.86,85.9,0.7
1022400.0,2075.61,364.57,1711.05,82.44,0.7
1026000.0,7115.0,1654.22,5460.78,76.75,0.4
1029600.0,4367.26,1175.99,3191.27,73.07,0.4
1033200.0,2332.85,627.14,1705.71,73.12,0.5
1036800.0,4737.7,1315.01,3422.69,72.24,0.4
1040400.0,2493.2,648.02,1845.18,74.01,0.4
1044000.0,1352.82,740.86,611.95,45.24,0.1
